gene_id,chr,pos,abs_d,cohens_d,description,cog_description,func_category,signaling_layer,all_layers,tf_families,n_families,log2fc_drought,drought_cat,go_biological,kegg_pathway,n_variant_hybrids,n_ref_hybrids
Zm00001eb156710,chr3,214206618,4.168348144184937,-4.168348144184937,XP_002456149.1 transcription initiation factor TFIID subunit 11 [Sorghum bicolor],hTAFII28-like protein conserved region,Unknown,Translation,Translation,"NAC,Trihelix,WOX",3,0.822,Stable,,"ko03022,map03022",3,16
Zm00001eb157820,chr3,217637108,2.7854375855586,-2.7854375855586,XP_002456083.1 acidic endochitinase [Sorghum bicolor],Belongs to the glycosyl hydrolase 18 family,Unknown,Metabolism,Metabolism,"CPP,WRKY",2,4.182,Strong up,,"ko00520,ko01100,map00520,map01100",4,15
Zm00001eb158370,chr3,219845503,0.7908584744590792,-0.7908584744590792,XP_052157283.1 GTP-binding nuclear protein Ran-2 [Oryza glaberrima],Ran (Ras-related nuclear proteins) /TC4 subfamily of small GTPases,Unknown,Signal Transduction,Signal Transduction,"NAC,Trihelix,WRKY",3,-0.031,Stable,,"ko03008,ko03013,ko05166,ko05169,map03008,map03013,map05166,map05169",5,8
Zm00001eb158500,chr3,220152206,2.063671916088679,-2.063671916088679,XP_004969308.2 uncharacterized protein LOC101755298 [Setaria italica],nan,Unknown,Unknown,Unknown,ERF,1,2.691,Strong up,,,3,16
Zm00001eb159080,chr3,221941447,1.996860070827555,-1.996860070827555,"XP_002458204.1 50S ribosomal protein L31, chloroplastic [Sorghum bicolor]",Belongs to the bacterial ribosomal protein bL31 family,Unknown,Translation,Translation,"EIL,ERF,GRAS,MIKC_MADS,TALE",5,-1.062,Strong down,,"ko03010,map03010",12,6
Zm00001eb162130,chr3,231271693,1.9819117322033593,1.9819117322033593,XP_021312417.1 zinc finger CCCH domain-containing protein 8-like isoform X2 [Sorghum bicolor],Zinc finger C-x8-C-x5-C-x3-H type (and similar),Unknown,Signal Transduction,Signal Transduction|Transcription Factor,"M-type_MADS,MIKC_MADS,MYB,TALE,bZIP",5,-0.086,Stable,,,9,9
Zm00001eb162710,chr3,233212650,2.2204319656711395,2.2204319656711395,XP_002455762.1 SPX domain-containing protein 6 [Sorghum bicolor],SPX domain,Unknown,Signal Transduction,Signal Transduction,"C2H2,Dof,GRAS,MIKC_MADS,TALE",5,-0.105,Stable,,,4,15
Zm00001eb163100,chr3,234870111,2.4322249176079063,2.4322249176079063,XP_021317072.1 uncharacterized protein LOC8079950 isoform X2 [Sorghum bicolor],RNase P subunit p30,Unknown,Unknown,Unknown,NAC,1,0.505,Stable,,"ko03008,ko03013,map03008,map03013",14,4
Zm00001eb163210,chr3,235166050,4.823322684804878,4.823322684804878,"XP_002450093.2 monothiol glutaredoxin-S12, chloroplastic [Sorghum bicolor]",Glutaredoxin,Unknown,Redox/Stress,Redox/Stress,"MYB,Trihelix",2,-0.368,Stable,,,4,13
Zm00001eb163480,chr3,235713991,2.23081181371385,2.23081181371385,XP_052138402.1 CBL-interacting protein kinase 32 [Oryza glaberrima],Non-specific serine threonine protein kinase,Unknown,Signal Transduction,Signal Transduction|Metabolism,"C2H2,TALE",2,-0.637,Stable,,"ko04068,ko04140,ko04150,ko04151,ko04152,ko04211,ko04213,ko04371,ko04530,ko04710,ko04714,ko04910,ko04920,ko04921,ko04922,ko04931,ko04932,ko05410,ko05418,map04068,map04140,map04150,map04151,map04152,map",7,9
Zm00001eb163710,chr3,236259214,2.4384996737793427,2.4384996737793427,XP_002441755.1 V-type proton ATPase subunit C [Sorghum bicolor],Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit C is necessary ,Unknown,Unknown,Unknown,"HSF,MIKC_MADS,Trihelix",3,0.275,Stable,,"ko00190,ko01100,ko04145,ko04150,ko04721,ko04966,ko05110,ko05120,ko05323,map00190,map01100,map04145,map04150,map04721,map04966,map05110,map05120,map05323",9,8
Zm00001eb163800,chr3,236418050,2.9349588111317213,2.9349588111317213,XP_002442753.1 obtusifoliol 14-alpha demethylase [Sorghum bicolor],Belongs to the cytochrome P450 family,Unknown,Metabolism,Metabolism,"ERF,LBD,NAC,SBP,TALE",5,-0.638,Stable,,"ko00100,ko01100,ko01110,ko01130,map00100,map01100,map01110,map01130",13,6
Zm00001eb164790,chr4,2047841,2.315942755895786,2.315942755895786,XP_052136874.1 importin beta-like SAD2 homolog isoform X1 [Oryza glaberrima],ARM repeat superfamily protein,Unknown,Transcription Factor,Transcription Factor,"CPP,MYB_related,Trihelix",3,0.086,Stable,,"ko04013,map04013",7,5
Zm00001eb169350,chr4,18974773,3.932742361674885,3.932742361674885,XP_002450707.1 receptor-like kinase TMK4 isoform X1 [Sorghum bicolor],Belongs to the protein kinase superfamily. Ser Thr protein kinase family,Unknown,Receptor/Sensor,Receptor/Sensor|Signal Transduction|Transcription Factor|Metabolism,"BES1,CAMTA,bHLH,bZIP",4,-0.636,Stable,,,7,6
Zm00001eb169970,chr4,22255547,5.027131847221161,-5.027131847221161,XP_004979241.1 SKP1-like protein 1A [Setaria italica],Belongs to the SKP1 family,Unknown,Unknown,Unknown,NONE,1,0.197,Stable,,"ko04110,ko04111,ko04114,ko04120,ko04141,ko04310,ko04341,ko04350,ko04710,ko05168,ko05200,map04110,map04111,map04114,map04120,map04141,map04310,map04341,map04350,map04710,map05168,map05200",14,4
Zm00001eb169990,chr4,22444656,6.817995601954361,6.817995601954361,"XP_004979240.1 UV-B-induced protein At3g17800, chloroplastic [Setaria italica]",Protein of unknown function (DUF760),Unknown,Unknown,Unknown,"ARF,EIL,HD-ZIP",3,-0.39,Stable,,,14,3
Zm00001eb171030,chr4,28342592,1.972462297927824,-1.972462297927824,XP_004972559.1 mitochondrial pyruvate carrier 4 [Setaria italica],Mediates the uptake of pyruvate into mitochondria,Unknown,Membrane/Transport,Membrane/Transport|Hormone,"B3,bHLH",2,-0.42,Stable,,,6,11
Zm00001eb172070,chr4,32604294,2.462041241439892,-2.462041241439892,"XP_002462363.1 protein CHLORORESPIRATORY REDUCTION 6, chloroplastic [Sorghum bicolor]",Chlororespiratory reduction 6,Unknown,Unknown,Unknown,"RAV,TALE",2,-0.621,Stable,,,15,4
Zm00001eb172450,chr4,34451809,1.918596607040125,-1.918596607040125,XP_002443890.1 protein CCA1 [Sorghum bicolor],Protein LHY-like isoform X1,Unknown,Unknown,Unknown,Dof,1,0.394,Stable,,"ko04712,map04712",13,6
Zm00001eb172780,chr4,35993232,3.0310799984111823,3.0310799984111823,XP_021321172.1 sphingoid long-chain bases kinase 1 isoform X2 [Sorghum bicolor],Diacylglycerol kinase catalytic domain (presumed),Unknown,Signal Transduction,Signal Transduction|Metabolism,"ARF,C2H2,ERF,MYB",4,0.472,Stable,,"ko00600,map00600",5,14
Zm00001eb172970,chr4,37192386,1.6631135426244656,1.6631135426244656,"XP_002445027.1 external alternative NAD(P)H-ubiquinone oxidoreductase B2, mitochondrial [Sorghum bicolor]",Pyridine nucleotide-disulphide oxidoreductase,Unknown,Metabolism,Metabolism|Hormone,"C2H2,MYB_related",2,2.347,Strong up,,,9,5
Zm00001eb173500,chr4,39120195,1.6807045361079327,-1.6807045361079327,nan,nan,Unknown,Unknown,Unknown,"LBD,MIKC_MADS",2,-1.06,Strong down,,,11,5
Zm00001eb174710,chr4,44170160,1.9109180498632172,1.9109180498632172,XP_021320522.1 oxysterol-binding protein-related protein 4C isoform X2 [Sorghum bicolor],Belongs to the OSBP family,Unknown,Signal Transduction,Signal Transduction,NONE,1,1.067,Strong up,,,7,9
Zm00001eb175230,chr4,47116254,2.288702790845905,2.288702790845905,XP_002445809.1 protein NUCLEAR FUSION DEFECTIVE 4 [Sorghum bicolor],Nodulin-like,Unknown,Unknown,Unknown,"Dof,G2-like,GRAS,M-type_MADS,MIKC_MADS,WOX",6,-2.669,Strong down,,,4,13
Zm00001eb176590,chr4,59440786,1.3981270049641512,-1.3981270049641512,XP_021319868.1 junctophilin-4-like [Sorghum bicolor],"Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and prote",Unknown,Signal Transduction,Signal Transduction|Metabolism,"NAC,TALE",2,-0.49,Stable,,,5,12
Zm00001eb177830,chr4,70420623,2.4362561512401566,-2.4362561512401566,XP_004962492.1 wall-associated receptor kinase-like 20 [Setaria italica],Protein kinase domain,Unknown,Receptor/Sensor,Receptor/Sensor|Signal Transduction|Metabolism,"ARF,B3,ERF,GRAS,MYB,Nin-like,TALE",7,1.793,Strong up,,,7,9
Zm00001eb178280,chr4,74114150,2.5964933611315097,2.5964933611315097,XP_002444096.1 plasma membrane ATPase [Sorghum bicolor],"Cation transporter/ATPase, N-terminus",Unknown,Membrane/Transport,Membrane/Transport,"BES1,ERF,MYB,NAC,SBP,bHLH",6,-0.13,Stable,,"ko00190,map00190",15,3
Zm00001eb179290,chr4,83096032,2.5907585948602705,2.5907585948602705,nan,nan,Unknown,Unknown,Unknown,WRKY,1,-0.504,Stable,,,10,7
Zm00001eb179750,chr4,86785717,3.631219078067788,-3.631219078067788,XP_002445552.1 60S ribosomal protein L34 [Sorghum bicolor],Ribosomal protein L34e,Unknown,Translation,Translation,ERF,1,-0.272,Stable,,"ko03010,map03010",14,4
Zm00001eb182260,chr4,123536641,3.4683844000086848,3.4683844000086848,XP_002453992.1 auxin response factor 7 [Sorghum bicolor],Auxin response factors (ARFs) are transcriptional factors that bind specifically,Unknown,Hormone,Hormone,"C2H2,EIL,ERF,MYB",4,-0.073,Stable,,"ko04075,map04075",3,14
Zm00001eb185040,chr4,147044205,1.9027022709126704,1.9027022709126704,XP_002454188.1 long-chain-alcohol oxidase FAO2 [Sorghum bicolor],Long-chain fatty alcohol oxidase involved in the omega- oxidation pathway of lip,Unknown,Metabolism,Metabolism,NONE,1,-0.194,Stable,,,6,12
Zm00001eb186120,chr4,154507836,3.2353168813696147,-3.2353168813696147,XP_002452845.1 autophagy-related protein 13a isoform X1 [Sorghum bicolor],Autophagy-related protein,Unknown,Unknown,Unknown,"C2H2,G2-like,MYB,NAC,Trihelix",5,-0.714,Stable,,"ko04136,ko04138,ko04140,ko04211,map04136,map04138,map04140,map04211",15,3
Zm00001eb186820,chr4,158778172,3.173569977080558,3.173569977080558,XP_004953380.1 probable phospholipid hydroperoxide glutathione peroxidase [Setaria italica],Belongs to the glutathione peroxidase family,Unknown,Metabolism,Metabolism|Redox/Stress,bHLH,1,0.874,Stable,,"ko00480,ko00590,ko04918,map00480,map00590,map04918",6,9
Zm00001eb187670,chr4,162371023,2.378608311491472,-2.378608311491472,XP_003570129.1 serine/arginine repetitive matrix protein 1 [Brachypodium distachyon],nan,Unknown,Unknown,Unknown,"G2-like,Trihelix",2,-0.699,Stable,,,4,15
Zm00001eb187800,chr4,162955738,2.2977816876713417,2.2977816876713417,XP_004953528.1 serine/threonine-protein kinase/endoribonuclease IRE1 isoform X1 [Setaria italica],nan,Unknown,Signal Transduction,Signal Transduction|Metabolism,"ERF,NAC",2,-0.659,Stable,,,6,13
Zm00001eb188700,chr4,166534010,5.421301104322435,-5.421301104322435,XP_021315070.1 heat shock 70 kDa protein 17 [Sorghum bicolor],Belongs to the heat shock protein 70 family,Unknown,Protein Processing,Protein Processing,"C2H2,Dof,GRAS,M-type_MADS,MIKC_MADS,Trihelix",6,1.134,Strong up,,"ko04141,map04141",4,12
Zm00001eb191380,chr4,176530292,1.4725591162438447,1.4725591162438447,XP_004954378.1 probable voltage-gated potassium channel subunit beta [Setaria italica],Aldo/keto reductase family,Unknown,Membrane/Transport,Membrane/Transport|Metabolism,"C2H2,ERF,MYB,MYB_related,TALE,bZIP",6,1.261,Strong up,,,11,5
Zm00001eb192150,chr4,178453918,1.899920669382254,-1.899920669382254,XP_002454721.1 calcineurin subunit B [Sorghum bicolor],Calcineurin subunit B,Unknown,Unknown,Unknown,"C2H2,Dof,GRAS,M-type_MADS,MIKC_MADS",5,0.808,Stable,,"ko04010,ko04020,ko04022,ko04114,ko04218,ko04310,ko04360,ko04370,ko04380,ko04650,ko04658,ko04659,ko04660,ko04662,ko04720,ko04724,ko04921,ko04922,ko04924,ko05010,ko05014,ko05031,ko05152,ko05166,ko05167,",5,14
Zm00001eb193640,chr4,183560529,3.1278602552196215,3.1278602552196215,XP_002452882.1 uncharacterized protein LOC8078922 [Sorghum bicolor],Protein of unknown function (DUF1685),Unknown,Unknown,Unknown,ERF,1,-1.216,Strong down,,,5,9
Zm00001eb195000,chr4,188805546,1.6814761433417835,1.6814761433417835,XP_002450102.1 ubiquitin-activating enzyme E1 1 [Sorghum bicolor],Belongs to the ubiquitin-activating E1 family,Unknown,Protein Processing,Protein Processing,WOX,1,0.561,Stable,,"ko04120,ko05012,map04120,map05012",13,6
Zm00001eb196380,chr4,192353067,1.8320463985670763,-1.8320463985670763,"XP_002448955.1 probable calcium-transporting ATPase 9, plasma membrane-type [Sorghum bicolor]",This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the,Unknown,Signal Transduction,Signal Transduction,"CPP,HD-ZIP,WOX",3,1.738,Strong up,,,8,10
Zm00001eb196600,chr4,193101732,2.8674926792782833,2.8674926792782833,XP_004978652.1 R3H domain-containing protein 4 [Setaria italica],R3H-associated N-terminal domain,Unknown,Signal Transduction,Signal Transduction,"ERF,GATA,MYB",3,-0.466,Stable,,,13,4
Zm00001eb198110,chr4,198955435,2.308612467412072,2.308612467412072,XP_004979377.1 N-alpha-acetyltransferase MAK3 [Setaria italica],Acetyltransferase (GNAT) family,Unknown,Chromatin/Epigenetic,Chromatin/Epigenetic|Metabolism,"ARF,EIL",2,0.726,Stable,,,7,12
Zm00001eb198120,chr4,198983254,1.490005611164971,-1.490005611164971,"XP_002449596.2 protein COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB1, chloroplastic [Sorghum bicolor]",Cofactor assembly of complex C subunit B,Unknown,Unknown,Unknown,"MYB_related,TCP",2,-0.446,Stable,,,9,8
Zm00001eb199940,chr4,205877979,4.098814330310352,4.098814330310352,XP_021320432.1 AT-hook motif nuclear-localized protein 10 [Sorghum bicolor],Domain of unknown function (DUF296),Unknown,Unknown,Unknown,"LFY,Trihelix,WRKY",3,0.706,Stable,,,7,10
Zm00001eb200140,chr4,207015716,2.354079152205055,2.354079152205055,XP_022685208.1 sialyltransferase-like protein 5 isoform X5 [Setaria italica],Glycosyltransferase family 29 (sialyltransferase),Unknown,Metabolism,Metabolism,LBD,1,0.545,Stable,,,10,8
Zm00001eb200440,chr4,207892864,3.5257089141939946,3.5257089141939946,XP_021317268.1 formin-like protein 14 [Sorghum bicolor],XS domain,Unknown,Unknown,Unknown,"CAMTA,HD-ZIP",2,0.438,Stable,,,11,4
Zm00001eb200590,chr4,208625246,3.1115924936727684,3.1115924936727684,XP_002449762.1 ETO1-like protein 1 [Sorghum bicolor],ETO1-like protein 1,Unknown,Unknown,Unknown,NONE,1,0.511,Stable,,,12,5
Zm00001eb201090,chr4,212104110,6.454553502625511,6.454553502625511,XP_002450410.1 uncharacterized protein LOC8079718 [Sorghum bicolor],nan,Unknown,Unknown,Unknown,"C2H2,GRAS,MIKC_MADS",3,-0.41,Stable,,,5,12
Zm00001eb201100,chr4,212273966,5.598555575237356,5.598555575237356,XP_004978846.1 serine/arginine repetitive matrix protein 1 [Setaria italica],nan,Unknown,Unknown,Unknown,"C2H2,MYB,TALE",3,-0.513,Stable,,,4,11
Zm00001eb202020,chr4,218320182,3.776223951223463,3.776223951223463,XP_021316639.1 probable receptor-like protein kinase At2g42960 [Sorghum bicolor],belongs to the protein kinase superfamily,Unknown,Receptor/Sensor,Receptor/Sensor|Signal Transduction|Transcription Factor|Metabolism,"GATA,HD-ZIP,WOX",3,-1.198,Strong down,,"ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map051",4,12
Zm00001eb202030,chr4,218406423,2.616696406649417,-2.616696406649417,XP_004968008.1 proline-rich receptor-like protein kinase PERK3 [Setaria italica],G-type lectin S-receptor-like serine threonine-protein kinase SD2-5,Unknown,Receptor/Sensor,Receptor/Sensor|Signal Transduction|Metabolism,"HD-ZIP,NAC,WOX",3,-1.655,Strong down,,,5,9
Zm00001eb203240,chr4,226807901,3.341135025387979,3.341135025387979,XP_002451996.2 uncharacterized protein LOC8077779 isoform X1 [Sorghum bicolor],Protein of unknown function (DUF563),Unknown,Unknown,Unknown,"ARR-B,G2-like,LBD",3,0.497,Stable,,"ko00515,ko01100,map00515,map01100",3,15
Zm00001eb204030,chr4,231395241,3.776154804882046,-3.776154804882046,XP_021315064.1 protein RDM16 isoform X1 [Sorghum bicolor],pre-mRNA processing factor 3 (PRP3),Unknown,Unknown,Unknown,CPP,1,0.857,Stable,,"ko03040,map03040",7,7
Zm00001eb206750,chr4,243744385,2.952833078683929,2.952833078683929,XP_004951669.1 uncharacterized protein LOC101784481 [Setaria italica],nan,Unknown,Unknown,Unknown,"ERF,MYB,SBP,TCP",4,-0.673,Stable,,,4,14
Zm00001eb206800,chr4,243828411,1.5748227706490667,-1.5748227706490667,XP_002453396.1 calmodulin-binding protein 60 B [Sorghum bicolor],Calmodulin binding protein-like,Unknown,Signal Transduction,Signal Transduction,"ARF,EIL,WOX",3,0.377,Stable,,,5,13
Zm00001eb207920,chr4,245967276,2.435194616190339,2.435194616190339,nan,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using t,Unknown,Unknown,Unknown,"ERF,LBD,NAC",3,0.402,Stable,,,7,9
Zm00001eb208430,chr4,246974498,1.9865494578769367,1.9865494578769367,XP_002453220.1 eukaryotic translation initiation factor 3 subunit J-A [Sorghum bicolor],"component of the eukaryotic translation initiation factor 3 (eIF-3) complex, whi",Unknown,Translation,Translation,"C2H2,Dof,GRAS,MIKC_MADS,TALE",5,-0.049,Stable,,"ko03013,map03013",5,14
Zm00001eb208710,chr4,247481976,1.9439999256388856,1.9439999256388856,XP_021315652.1 RNA polymerase II transcription factor B subunit 4 [Sorghum bicolor],Transcription factor Tfb4,Unknown,Transcription Factor,Transcription Factor,"C2H2,CPP,M-type_MADS,MIKC_MADS",4,0.41,Stable,,"ko03022,ko03420,ko05203,map03022,map03420,map05203",6,8
Zm00001eb209380,chr4,248497085,1.8078821906883915,-1.8078821906883915,XP_002451390.1 signal peptide peptidase 1 [Sorghum bicolor],Signal peptide peptidase,Unknown,Protein Processing,Protein Processing,MYB,1,0.593,Stable,,,6,9
Zm00001eb211620,chr5,2582951,2.0878067972527448,-2.0878067972527448,XP_016468695.1 uncharacterized protein [Nicotiana tabacum],Nucleotide exchange factor Fes1,Unknown,Hormone,Hormone,"TCP,Trihelix",2,0.609,Stable,,"ko04141,map04141",6,13
Zm00001eb211740,chr5,2679905,2.0055852743209135,-2.0055852743209135,XP_021306792.1 actin-depolymerizing factor 3 [Sorghum bicolor],Belongs to the actin-binding proteins ADF family,Unknown,Signal Transduction,Signal Transduction,"G2-like,MYB_related,YABBY,bZIP",4,-0.098,Stable,,"ko04360,ko04666,ko04810,ko05133,map04360,map04666,map04810,map05133",13,3
Zm00001eb211780,chr5,2722689,1.4740766603580426,1.4740766603580426,XP_002466197.1 ras-related protein RABE1c [Sorghum bicolor],Rab subfamily of small GTPases,Unknown,Signal Transduction,Signal Transduction,NONE,1,0.512,Stable,,"ko04144,ko04152,ko04530,ko04972,map04144,map04152,map04530,map04972",6,9
Zm00001eb212520,chr5,3799865,1.0581936876932885,1.0581936876932885,"XP_021306676.1 photosystem I reaction center subunit II, chloroplastic-like [Sorghum bicolor]",Photosystem I reaction center subunit II,Unknown,Unknown,Unknown,"AP2,C2H2,NAC",3,-2.019,Strong down,,"ko00195,ko01100,map00195,map01100",13,5
Zm00001eb212610,chr5,3929566,2.5476844419306603,-2.5476844419306603,XP_021321104.1 lipid phosphate phosphatase delta [Sorghum bicolor],Acid phosphatase homologues,Unknown,Signal Transduction,Signal Transduction,"CPP,G2-like,MIKC_MADS",3,0.62,Stable,,"ko00600,ko04071,map00600,map04071",7,8
Zm00001eb212810,chr5,4304943,4.4476800731906225,4.4476800731906225,XP_002466283.1 protein WVD2-like 1 isoform X1 [Sorghum bicolor],Targeting protein for Xklp2 (TPX2),Unknown,Signal Transduction,Signal Transduction,ARF,1,0.074,Stable,,,8,7
Zm00001eb212940,chr5,4539678,4.0980270622678345,4.0980270622678345,nan,DNA-binding transcription factor activity,Unknown,Transcription Factor,Transcription Factor,"C2H2,MYB,bHLH",3,-0.236,Stable,,,4,13
Zm00001eb214080,chr5,6342999,2.2064550188307166,2.2064550188307166,XP_004981644.1 uncharacterized protein LOC101782522 [Setaria italica],PetM family of cytochrome b6f complex subunit 7,Unknown,Unknown,Unknown,"HD-ZIP,M-type_MADS,MIKC_MADS",3,-2.691,Strong down,,,12,7
Zm00001eb215480,chr5,9017699,2.0849681970533394,-2.0849681970533394,XP_002463926.1 endoplasmic reticulum oxidoreductin-1 [Sorghum bicolor],Endoplasmic Reticulum Oxidoreductin 1 (ERO1),Unknown,Unknown,Unknown,MYB,1,0.44,Stable,,"ko04141,ko05110,map04141,map05110",9,7
Zm00001eb215680,chr5,9899872,3.256816592667565,3.256816592667565,XP_021318180.1 CSC1-like protein RXW8 [Sorghum bicolor],Cytosolic domain of 10TM putative phosphate transporter,Unknown,Membrane/Transport,Membrane/Transport,ERF,1,-1.791,Strong down,,,11,6
Zm00001eb215710,chr5,10003009,2.539472552732426,-2.539472552732426,XP_021321458.1 tubulin alpha-1 chain [Sorghum bicolor],"Tubulin is the major constituent of microtubules. It binds two moles of GTP, one",Unknown,Unknown,Unknown,"M-type_MADS,MIKC_MADS,MYB,TCP",4,-0.235,Stable,,"ko04145,ko04210,ko04530,ko04540,ko05130,map04145,map04210,map04530,map04540,map05130",4,14
Zm00001eb215780,chr5,10159988,1.63281724559116,-1.63281724559116,XP_021306749.1 lariat debranching enzyme [Sorghum bicolor],"Lariat debranching enzyme, C-terminal domain",Unknown,Unknown,Unknown,"C2H2,GRAS,MIKC_MADS,TALE,bZIP",5,0.702,Stable,,,6,8
Zm00001eb216000,chr5,10575019,2.796844178065814,2.796844178065814,XP_002463979.1 uncharacterized protein LOC8059995 [Sorghum bicolor],"Serine aminopeptidase, S33",Unknown,Protein Processing,Protein Processing,"ARR-B,ERF,G2-like,MYB_related",4,-0.039,Stable,,"ko00561,ko01100,ko04714,ko04723,ko04923,map00561,map01100,map04714,map04723,map04923",3,15
Zm00001eb217010,chr5,13128960,3.167194025229343,-3.167194025229343,"XP_004962155.1 stromal 70 kDa heat shock-related protein, chloroplastic [Setaria italica]",Belongs to the heat shock protein 70 family,Unknown,Protein Processing,Protein Processing,"C2H2,MYB,NAC,Trihelix",4,1.699,Strong up,,"ko03040,ko04010,ko04141,ko04144,ko04213,ko04612,ko04915,ko05134,ko05145,ko05162,ko05164,ko05169,map03040,map04010,map04141,map04144,map04213,map04612,map04915,map05134,map05145,map05162,map05164,map05",15,4
Zm00001eb217390,chr5,14254464,3.960275009599692,-3.960275009599692,XP_004982185.1 uncharacterized protein LOC101762011 [Setaria italica],nucleic acid binding protein (Fragment),Unknown,Signal Transduction,Signal Transduction,ERF,1,3.124,Strong up,,,5,12
Zm00001eb217560,chr5,14614921,1.8976472087481904,-1.8976472087481904,XP_021317506.1 glycine-rich RNA-binding protein 2 [Sorghum bicolor],Glycine-rich RNA-binding protein,Unknown,Signal Transduction,Signal Transduction,"MYB_related,Trihelix",2,1.335,Strong up,,"ko03040,map03040",8,10
Zm00001eb219040,chr5,19107568,2.410048121163423,-2.410048121163423,XP_004982424.1 probable 2-oxoglutarate-dependent dioxygenase At5g05600 [Setaria italica],Belongs to the iron ascorbate-dependent oxidoreductase family,Unknown,Metabolism,Metabolism|Redox/Stress,LBD,1,2.977,Strong up,,,4,15
Zm00001eb219210,chr5,19510487,2.188119226814984,-2.188119226814984,XP_002464245.2 zinc finger protein 4 [Sorghum bicolor],zinc finger,Unknown,Transcription Factor,Transcription Factor,"ARF,BBR-BPC,GRAS,MIKC_MADS,TALE",5,0.639,Stable,,,3,14
Zm00001eb219710,chr5,21032251,1.848124679262618,1.848124679262618,XP_004975212.1 achilleol B synthase isoform X1 [Setaria italica],Prenyltransferase and squalene oxidase repeat,Unknown,Metabolism,Metabolism,MYB_related,1,-0.218,Stable,,"ko00100,ko01100,ko01110,map00100,map01100,map01110",10,7
Zm00001eb222310,chr5,32352203,2.874238956905657,-2.874238956905657,nan,nan,Unknown,Unknown,Unknown,"M-type_MADS,Nin-like",2,0.516,Stable,,,10,8
Zm00001eb225790,chr5,51768174,4.0288094026258445,-4.0288094026258445,XP_004966283.1 EH domain-containing protein 1 [Setaria italica],Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA fa,Unknown,Signal Transduction,Signal Transduction|Transcription Factor,"C2H2,G2-like,MYB,Trihelix",4,0.126,Stable,,"ko04144,map04144",14,3
Zm00001eb227020,chr5,58804250,1.887218699133968,-1.887218699133968,XP_012700889.1 auxin-induced protein 15A [Setaria italica],Auxin responsive protein,Unknown,Hormone,Hormone,"C2H2,TALE",2,-2.188,Strong down,,"ko04075,map04075",10,9
Zm00001eb227200,chr5,59946133,2.305646447426234,2.305646447426234,XP_002437549.2 protein PHOSPHATE STARVATION RESPONSE 3 [Sorghum bicolor],"MYB-CC type transfactor, LHEQLE motif",Unknown,Transcription Factor,Transcription Factor,TCP,1,-2.205,Strong down,,,4,13
Zm00001eb227240,chr5,60016925,2.614639658175785,2.614639658175785,XP_002437553.1 zinc finger CCCH domain-containing protein 46 isoform X1 [Sorghum bicolor],Zinc finger C-x8-C-x5-C-x3-H type (and similar),Unknown,Signal Transduction,Signal Transduction|Transcription Factor,MYB,1,0.199,Stable,,"ko03013,map03013",8,5
Zm00001eb227310,chr5,60347328,3.539510209205446,-3.539510209205446,"XP_021305862.1 delta-aminolevulinic acid dehydratase, chloroplastic [Sorghum bicolor]",Belongs to the ALAD family,Unknown,Unknown,Unknown,"ARF,GRAS",2,-0.324,Stable,,"ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120",10,5
Zm00001eb227330,chr5,60404792,1.6322288517979,-1.6322288517979,XP_002437555.1 glycosyltransferase family 64 protein C4 [Sorghum bicolor],Glycosyl transferase family 64 domain,Unknown,Metabolism,Metabolism,"C2H2,MYB,Trihelix",3,2.875,Strong up,,"ko00534,ko01100,map00534,map01100",5,14
Zm00001eb227400,chr5,60874715,2.8731706347228676,2.8731706347228676,XP_002437560.1 mitogen-activated protein kinase 12 isoform X1 [Sorghum bicolor],Mitogen-activated protein kinase,Unknown,Signal Transduction,Signal Transduction|Metabolism,WOX,1,0.454,Stable,,"ko04016,map04016",6,13
Zm00001eb227670,chr5,61446348,5.5371808019707265,5.5371808019707265,nan,Pentatricopeptide repeat domain,Unknown,Unknown,Unknown,NAC,1,-0.124,Stable,,,9,10
Zm00001eb228090,chr5,63257241,2.5466650592937663,-2.5466650592937663,XP_002437596.1 uncharacterized protein LOC8069195 isoform X2 [Sorghum bicolor],Protein of unknown function (DUF668),Unknown,Unknown,Unknown,NONE,1,0.816,Stable,,,12,5
Zm00001eb228160,chr5,63491996,2.0854684599772058,2.0854684599772058,XP_002439032.1 senescence/dehydration-associated protein At3g51250 [Sorghum bicolor],Senescence-associated protein,Unknown,Unknown,Unknown,"C2H2,ERF,LBD,TALE",4,2.005,Strong up,,"ko04144,map04144",10,9
Zm00001eb232710,chr5,84480191,1.8662184300906264,-1.8662184300906264,XP_002442919.2 probable pectate lyase 4 [Sorghum bicolor],Pectate lyase,Unknown,Unknown,Unknown,"C2H2,GRAS,M-type_MADS,NAC",4,-0.106,Stable,,"ko00040,ko02024,map00040,map02024",8,10
