chr,pos,gene_id,abs_d,peak_width_smallest,peak_width_median,n_hybrids_with_peak,total_motifs_in_peak,n_families_in_peak,motifs_at_variant,n_fam_at_variant,min_redundancy_in_peak
chr8,141846950,Zm00001eb356920,2.1281626349460367,284,459.0,25,97,22,20,9,1
chr8,143422255,Zm00001eb357290,1.3467381600489003,230,788.0,25,55,15,7,6,1
chr8,143696517,Zm00001eb357340,2.3397966562317483,175,307.5,22,80,18,33,10,2
chr8,144808376,Zm00001eb357600,2.6331342190462195,435,600.0,25,245,31,15,6,1
chr8,148019718,Zm00001eb358310,4.062382971328123,73,157.0,21,26,7,23,5,1
chr8,148220192,Zm00001eb358380,3.606833458385681,105,187.5,6,38,15,14,5,1
chr8,149082352,Zm00001eb358690,3.271785325755113,354,401.5,22,146,23,20,9,1
chr8,151310228,Zm00001eb359400,4.113862535067752,120,171.5,18,29,12,10,6,1
chr8,154803605,Zm00001eb360330,2.4156289925880072,142,233.0,25,21,14,4,3,1
chr8,158078802,Zm00001eb361180,2.784443667316501,120,134.0,3,46,15,24,11,1
chr8,160124268,Zm00001eb361900,3.050999025132883,282,652.0,22,186,21,10,4,1
chr8,162966385,Zm00001eb362270,2.791335446100365,147,215.0,24,67,17,11,4,3
chr8,165905195,Zm00001eb363480,2.543557184954071,364,412.5,16,157,23,8,4,2
chr8,166221363,Zm00001eb363730,2.819579796012812,62,132.5,12,21,6,10,3,1
chr8,166609169,Zm00001eb363880,1.9709685441101807,60,150.0,14,14,3,10,3,1
chr8,167523808,Zm00001eb364260,2.024191433349474,74,282.0,25,27,9,14,6,1
chr8,167835862,Zm00001eb364360,3.2527941695374234,96,163.0,9,22,11,3,3,1
chr8,168498954,Zm00001eb364700,3.596626692460872,83,138.0,8,15,6,9,5,1
chr8,169330104,Zm00001eb365060,2.194329974718386,60,138.5,4,25,7,24,6,1
chr8,170000212,Zm00001eb365530,3.918592705554616,109,151.0,15,67,14,37,9,1
chr8,170468152,Zm00001eb365690,2.0716104883894,238,631.5,24,93,27,23,11,1
chr8,170688841,Zm00001eb365760,4.111746613288651,168,383.0,25,69,14,31,6,1
chr8,170726288,Zm00001eb365780,2.983379014839409,221,471.0,25,90,22,6,4,1
chr8,170841016,Zm00001eb365820,2.1078338164841717,104,112.5,2,37,10,9,6,1
chr8,173983761,Zm00001eb367290,1.846391553585101,99,525.5,16,52,15,8,6,1
chr8,177936963,Zm00001eb369360,2.519296049239762,295,455.0,25,138,25,38,8,1
chr8,178310904,Zm00001eb369690,1.8560892252708696,82,178.0,24,37,11,14,6,1
chr8,179708135,Zm00001eb370370,2.658557680019747,303,444.0,25,179,25,67,11,3
chr8,179956982,Zm00001eb370480,2.015279933830635,231,281.0,4,91,21,9,5,1
chr8,179956982,Zm00001eb370490,5.369328196090953,231,281.0,4,91,21,9,5,1
chr8,181585871,Zm00001eb371150,1.9059675586076643,173,288.5,22,123,23,41,6,3
chr8,181685300,Zm00001eb371180,2.4216835827902803,207,397.0,25,88,22,9,6,1
chr9,2221701,Zm00001eb371520,1.8181388931208795,124,382.0,24,109,17,70,9,1
chr9,10900844,Zm00001eb373600,2.3386125552092167,193,284.5,24,62,19,9,6,1
chr9,13076932,Zm00001eb374170,2.8780626893577255,197,283.5,18,64,13,7,6,1
chr9,13463701,Zm00001eb374330,1.6181686821158872,318,428.5,8,118,22,21,9,4
chr9,14320547,Zm00001eb374580,1.8971760421948416,58,104.0,7,32,6,31,5,2
chr9,17538945,Zm00001eb375480,2.889897845155618,235,311.0,25,73,19,11,6,2
chr9,18132531,Zm00001eb375670,3.623948571308909,273,306.0,19,115,19,6,5,1
chr9,18311524,Zm00001eb375690,3.0463858326444253,94,143.0,25,50,14,27,9,1
chr9,25715058,Zm00001eb378280,2.2972309314081407,68,354.0,21,15,7,2,2,1
chr9,27458565,Zm00001eb378780,2.103731474270827,69,232.5,22,29,7,17,7,1
chr9,27730744,Zm00001eb378830,1.5108370808028817,378,467.0,24,158,24,13,9,2
chr9,28619502,Zm00001eb379070,3.622352488728783,103,106.5,2,17,9,8,4,1
chr9,28971025,Zm00001eb379200,2.094570252486709,77,122.0,18,26,6,12,3,5
chr9,32735822,Zm00001eb379770,4.225863212824155,110,355.0,25,59,13,28,7,1
chr9,43137149,Zm00001eb381110,3.0630036140548107,118,137.0,9,11,7,4,3,1
chr9,78690049,Zm00001eb384580,2.0187491728805615,185,223.0,11,87,22,6,3,1
chr9,86940666,Zm00001eb385310,5.4563074515983665,135,173.0,3,68,16,8,3,1
chr9,89409471,Zm00001eb385600,1.945641899503812,156,344.0,25,61,22,20,11,1
chr9,95715345,Zm00001eb386410,4.2711141341040735,124,206.0,5,31,12,10,5,1
chr9,97686378,Zm00001eb386670,3.54469480317845,449,677.0,19,163,28,26,8,4
chr9,98802774,Zm00001eb386920,4.391702011792004,87,99.0,3,31,11,12,8,1
chr9,102589516,Zm00001eb387530,3.517068454399342,111,193.0,25,47,16,10,6,2
chr9,105100312,Zm00001eb388040,2.546970347607554,156,351.5,12,33,15,4,3,1
chr9,114028069,Zm00001eb389750,1.570640510225311,221,971.0,25,121,23,20,6,1
chr9,118104984,Zm00001eb390480,2.5792444565528156,591,917.5,22,331,28,19,11,4
chr9,118437958,Zm00001eb390560,2.6247022196235013,111,355.0,25,37,13,21,10,1
chr9,118637912,Zm00001eb390620,3.000648476281756,129,129.0,1,65,17,29,8,2
chr9,118637912,Zm00001eb390630,2.6281076190415016,129,129.0,1,65,17,29,8,2
chr9,120197239,Zm00001eb391000,3.6825842980269456,84,116.0,11,24,11,20,11,1
chr9,122118336,Zm00001eb391500,2.465390847641111,335,441.0,25,120,24,7,5,2
chr9,124884985,Zm00001eb392270,3.042346253705929,63,145.5,4,15,8,14,8,1
chr9,125649370,Zm00001eb392420,2.5552530787738763,129,254.0,25,63,16,4,2,3
chr9,126371314,Zm00001eb392580,1.269886683524992,265,389.0,25,93,24,13,4,4
chr9,127396363,Zm00001eb392740,3.72080896068054,180,279.0,18,87,22,13,7,2
chr9,133948298,Zm00001eb394390,2.190089812577919,156,242.0,25,84,17,20,11,1
chr9,144887582,Zm00001eb397350,2.3099901398415645,165,259.0,23,79,19,8,6,1
chr9,145381215,Zm00001eb397550,2.246237253881352,90,211.0,25,67,14,16,10,1
chr9,146333600,Zm00001eb397900,2.6311028284089657,74,179.0,8,17,10,14,8,1
chr9,146645800,Zm00001eb397980,5.358473805625028,65,123.0,5,24,12,7,6,1
chr9,148869547,Zm00001eb398660,3.5421658958831186,167,228.0,25,75,19,26,10,1
chr9,149072059,Zm00001eb398750,2.1202665528226134,63,173.5,18,18,10,12,7,1
chr9,150243406,Zm00001eb399180,2.7513403451941287,136,403.5,22,78,21,20,9,1
chr9,153163926,Zm00001eb400160,2.6464567801316603,570,570.0,1,263,29,12,7,1
chr9,154426571,Zm00001eb400800,1.652323651479111,346,557.5,22,114,23,12,8,1
chr9,155058866,Zm00001eb401030,1.7195219639960633,73,170.0,25,15,8,9,4,1
chr9,156946459,Zm00001eb401810,2.298832895090343,115,202.0,22,70,16,26,9,1
chr9,157691476,Zm00001eb402200,3.1749636009854254,64,64.0,1,10,7,2,1,2
chr9,157730650,Zm00001eb402300,1.766755663268392,350,415.0,25,122,27,19,13,2
chr9,157765410,Zm00001eb402390,4.027247771856735,59,207.0,23,16,6,16,6,1
chr9,158841703,Zm00001eb403000,2.350186336232038,60,184.5,6,16,11,14,9,1
chr9,159816783,Zm00001eb403450,1.6746920973337742,62,253.0,21,35,10,34,10,1
chr9,160764965,Zm00001eb404040,2.5965898104389025,111,175.0,19,59,14,10,3,2
chr10,2312252,Zm00001eb405630,2.168942650916777,400,400.0,1,192,28,19,13,1
chr10,13503648,Zm00001eb408750,2.862384599000813,140,247.0,25,73,16,21,8,1
chr10,15073683,Zm00001eb408960,2.0220403125060007,240,336.0,25,84,19,38,11,2
chr10,24049601,Zm00001eb410260,2.5913860907730815,75,132.0,14,14,5,13,4,1
chr10,81773643,Zm00001eb416180,2.120923721542291,121,339.0,25,60,13,19,5,2
chr10,95376505,Zm00001eb418570,2.469356047250821,63,154.0,21,13,5,12,4,1
chr10,98769739,Zm00001eb419190,3.2089875544793545,175,210.0,13,111,19,20,5,2
chr10,118636974,Zm00001eb422400,3.864737213611521,363,724.0,25,217,26,27,7,2
chr10,119597830,Zm00001eb422560,2.777517257311887,352,422.0,6,230,26,5,4,1
chr10,122646191,Zm00001eb423410,2.204669172080929,93,200.0,21,17,9,10,5,1
chr10,122921125,Zm00001eb423440,12.93827720009006,201,298.0,25,93,16,36,6,1
chr10,135013948,Zm00001eb427180,1.6586527563394895,129,266.5,4,22,12,10,7,1
chr10,136303592,Zm00001eb427640,1.8419230329690903,186,309.0,17,49,15,10,5,1
chr10,138938403,Zm00001eb428570,2.8507596118688783,61,120.0,6,19,8,13,5,1
chr10,142901586,Zm00001eb430160,5.700150619890914,313,392.0,25,140,23,48,11,1
chr10,143204004,Zm00001eb430350,1.9941093863543613,80,121.0,2,46,13,28,8,1
chr10,144328092,Zm00001eb430780,2.6065774439903566,69,185.5,14,41,11,28,8,1
chr10,144347010,Zm00001eb430800,2.73154651053456,160,213.0,21,75,20,4,2,3
chr10,144426712,Zm00001eb430820,3.1401620304783036,136,161.0,25,50,17,10,5,1
chr10,146230984,Zm00001eb431580,2.505721658747991,661,782.0,25,382,28,8,4,8
chr10,146450316,Zm00001eb431690,2.1140167710302453,197,269.0,24,122,18,15,8,1
chr10,150135146,Zm00001eb433520,2.1607528247400194,540,554.0,3,314,27,8,4,3
